,encontrado,qtd_comparacoes,id_localizado,n_buscado,vetor,salto,tempo
0,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",1,0.0007021427154541016
1,True,8,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",2,0.00244903564453125
2,True,6,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",3,0.005258083343505859
3,True,5,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",4,0.0069239139556884766
4,True,6,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",5,0.008179187774658203
5,True,4,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",6,0.009345054626464844
6,True,8,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",7,0.01050114631652832
7,True,7,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",8,0.011646032333374023
8,True,6,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",9,0.012807130813598633
9,True,5,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",10,0.013940811157226562
10,True,3,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",11,0.015066146850585938
11,True,4,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",12,0.019150972366333008
12,True,1,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",13,0.020306110382080078
13,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",14,0.021358013153076172
14,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",15,0.022372961044311523
15,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",16,0.02456498146057129
16,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",17,0.02603006362915039
17,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",18,0.026933908462524414
18,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",19,0.02797102928161621
19,True,13,12,612,"[72, 77, 162, 163, 228, 284, 360, 363, 470, 535, 543, 564, 612, 632, 633, 682, 699, 755, 813, 899, 964]",20,0.0296170711517334
20,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",1,0.0003693103790283203
